ae_mean,ae_var,rmse_mean,rmse_var,cf_mean,cf_var,zcr_mean,zcr_var,ber_mean,ber_var,sc_mean,sc_var,sb_mean,sb_var,sf_mean,sf_var,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var,mfcc_13_var,mfcc_14_var,mfcc_15_var,mfcc_16_var,label
(0.4712752103805542+0j),(0.008312124758958817+0j),(0.1625039279460907+0j),(0.00062538095517084+0j),(3.0568149089813232+0j),(0.09218927472829819+0j),(132.65383911132812+0j),(1013.195556640625+0j),(-3.1604959964752197-8.858263969421387j),(5719.388671875+0j),(22.372127532958984-2.6841001510620117j),(114497.9453125+0j),(145.66217041015625-9.002753257751465j),(54871.390625+0j),(-28.344064712524414+114.15315246582031j),(1712502.375+0j),(-197.85333251953125-0.1917228400707245j),(13.187981605529785-0.08130761981010437j),(2.04327392578125+0.10192059725522995j),(1.4626350402832031-0.09564945846796036j),(2.8721306324005127+0.07751551270484924j),(3.851039409637451-0.20868439972400665j),(-0.36282268166542053+0.05961834266781807j),(-1.5115649700164795-0.0021809882018715143j),(5.300016403198242+0.24104855954647064j),(-3.9839048385620117-0.1483401209115982j),(3.2571048736572266-0.27427852153778076j),(8.54275131225586-0.011570858769118786j),(0.46906667947769165+0.26500484347343445j),(3.1779144745412713e-13+7.052042682583826e-16j),(-0.46906667947769165-0.26500484347343445j),(-8.54275131225586+0.011570858769118786j),(723.9126586914062+0j),(1099.9345703125+0j),(1039.1112060546875+0j),(1021.1632690429688+0j),(1644.6978759765625+0j),(1488.9173583984375+0j),(1519.421630859375+0j),(2079.602294921875+0j),(2658.02392578125+0j),(3106.562255859375+0j),(2839.0341796875+0j),(3004.815673828125+0j),(3690.30322265625+0j),(6.815372264748687e-27+0j),(3690.30322265625+0j),(3004.815673828125+0j),0
(0.42125949263572693+0j),(0.011094351299107075+0j),(0.14814907312393188+0j),(0.0010932269506156445+0j),(3.121579885482788+0j),(0.14847123622894287+0j),(138.45384216308594+0j),(1417.2940673828125+0j),(-2.3359103202819824+3.4794981479644775j),(4598.201171875+0j),(36.00290298461914-4.722692966461182j),(44513.51953125+0j),(116.28369903564453-5.365518093109131j),(22351.921875+0j),(7.771736145019531+31.477420806884766j),(542378.6875+0j),(-199.199462890625-0.07801182568073273j),(14.571248054504395+0.2526606023311615j),(2.454824209213257+0.298916220664978j),(4.145791530609131-0.07401441782712936j),(6.281139850616455-0.17714400589466095j),(3.607165575027466+0.06869702786207199j),(-3.2389423847198486-0.38405486941337585j),(-0.18828578293323517-0.0291126761585474j),(-6.384311676025391+0.0635274350643158j),(2.791738510131836-0.001828008913435042j),(-0.46156057715415955-0.03948286920785904j),(6.007402420043945+0.4494995176792145j),(0.9138993620872498-0.03614280745387077j),(3.1506549214195545e-13+3.675072802577966e-17j),(-0.9138993620872498+0.03614280745387077j),(-6.007402420043945-0.4494995176792145j),(956.156005859375+0j),(906.3955078125+0j),(1130.6763916015625+0j),(1228.258056640625+0j),(1591.86572265625+0j),(1873.1005859375+0j),(1538.52490234375+0j),(1558.7745361328125+0j),(2219.945068359375+0j),(3250.98583984375+0j),(3021.15087890625+0j),(3300.095458984375+0j),(3380.44384765625+0j),(6.558383876689432e-27+0j),(3380.44384765625+0j),(3300.095458984375+0j),0
(0.4004441499710083+0j),(0.02338297851383686+0j),(0.13851752877235413+0j),(0.002859770553186536+0j),(3.100747585296631+0j),(0.23940034210681915+0j),(132.77691650390625+0j),(2859.527099609375+0j),(4.555530548095703-16.556705474853516j),(38547.0546875+0j),(48.4106559753418-34.28663635253906j),(88254.84375+0j),(158.87586975097656-2.791518449783325j),(50820.9296875+0j),(-162.21072387695312-84.39146423339844j),(755896.5+0j),(-202.27439880371094-0.40814870595932007j),(15.060473442077637+0.12651003897190094j),(1.6103352308273315+0.026215743273496628j),(1.235666036605835-0.31048932671546936j),(-1.9793509244918823+0.3955933451652527j),(-4.889279842376709+0.05961655452847481j),(-0.6643869876861572+0.2738952338695526j),(4.183004856109619-0.027852782979607582j),(-2.5215327739715576+0.06050866097211838j),(3.123849630355835-0.015261129476130009j),(-4.472289562225342+0.3282671868801117j),(-0.5341879725456238+0.08325647562742233j),(4.6839280128479-0.56940758228302j),(3.304582356453839e-13+3.4831765619352183e-16j),(-4.6839280128479+0.56940758228302j),(0.5341879725456238-0.08325647562742233j),(834.267578125+0j),(762.4982299804688+0j),(1345.209228515625+0j),(1048.3189697265625+0j),(1301.8270263671875+0j),(1357.1092529296875+0j),(1637.2125244140625+0j),(2021.5311279296875+0j),(2544.609375+0j),(2521.42626953125+0j),(2669.69921875+0j),(3633.945068359375+0j),(3011.758544921875+0j),(8.469618205229015e-27+0j),(3011.758544921875+0j),(3633.945068359375+0j),0
(0.3626549243927002+0j),(0.019661547616124153+0j),(0.132874995470047+0j),(0.0036825155839323997+0j),(3.1510818004608154+0j),(0.3349262773990631+0j),(110.56922912597656+0j),(2556.352783203125+0j),(25.793582916259766-24.406024932861328j),(132613.984375+0j),(34.46504211425781+1.218899130821228j),(440089.96875+0j),(207.11618041992188+5.012921333312988j),(171912.1875+0j),(-389.2661437988281-51.715023040771484j),(1398325.375+0j),(-203.78811645507812-0.24883100390434265j),(17.303192138671875+0.12536309659481049j),(-1.2280477285385132+0.07553119212388992j),(3.0688061714172363-0.12116639316082001j),(1.2406022548675537-0.03104161098599434j),(4.0332932472229+0.139354407787323j),(4.356432914733887+0.03995711728930473j),(1.196470022201538+0.022722268477082253j),(4.334260940551758+0.18150335550308228j),(4.915397644042969+0.3101661503314972j),(-2.329047679901123-0.1401456892490387j),(-3.4295880794525146+0.2040891796350479j),(3.362218141555786+0.5326973795890808j),(3.3492064915700837e-13+8.773473564640253e-16j),(-3.362218141555786-0.5326973795890808j),(3.4295880794525146-0.2040891796350479j),(733.1949462890625+0j),(889.7225952148438+0j),(712.2791748046875+0j),(1033.479248046875+0j),(1464.26416015625+0j),(1259.5361328125+0j),(1501.513671875+0j),(2320.523193359375+0j),(2099.673828125+0j),(2602.875+0j),(2590.661376953125+0j),(3030.722412109375+0j),(3642.87109375+0j),(7.755704478607844e-27+0j),(3642.87109375+0j),(3030.722412109375+0j),0
(0.310842901468277+0j),(0.025099240243434906+0j),(0.09387951344251633+0j),(0.0015701311640441418+0j),(3.4442873001098633+0j),(0.34556207060813904+0j),(172.53076171875+0j),(13207.572265625+0j),(-8.892621040344238-3.2964439392089844j),(9334.078125+0j),(22.957265853881836+25.49605369567871j),(134817.6875+0j),(155.6764373779297+6.964670181274414j),(72353.484375+0j),(-572.142578125+36.029212951660156j),(886576.75+0j),(-205.80978393554688+0.26345115900039673j),(19.29306411743164-0.059615641832351685j),(1.7359691858291626-0.1194176897406578j),(6.3625688552856445-0.09433156996965408j),(4.65393590927124-0.3763648271560669j),(2.967219352722168+0.15278013050556183j),(-0.4668028950691223-0.006554767023772001j),(5.061509132385254+0.07974747568368912j),(7.184511184692383+0.14416265487670898j),(3.1062514781951904+0.029744114726781845j),(-4.335147857666016+0.1898658275604248j),(-1.037751317024231+0.07063322514295578j),(-1.6434420347213745+0.21563249826431274j),(3.324010175182607e-13-2.5264457011709937e-16j),(1.6434420347213745-0.21563249826431274j),(1.037751317024231-0.07063322514295578j),(672.5977783203125+0j),(691.1409301757812+0j),(873.9066772460938+0j),(785.6112060546875+0j),(1035.0970458984375+0j),(1408.06298828125+0j),(1824.4407958984375+0j),(1999.055908203125+0j),(2584.852783203125+0j),(2510.289794921875+0j),(2869.854248046875+0j),(3331.14306640625+0j),(2838.0693359375+0j),(7.269202248703984e-27+0j),(2838.0693359375+0j),(3331.14306640625+0j),0
(0.40792542695999146+0j),(0.016192002221941948+0j),(0.13960741460323334+0j),(0.0021619400940835476+0j),(3.1165990829467773+0j),(0.13951361179351807+0j),(138.65383911132812+0j),(1413.949462890625+0j),(6.698001861572266-5.33937406539917j),(5032.79345703125+0j),(77.12747955322266+35.11460876464844j),(167355.203125+0j),(151.13912963867188-32.819766998291016j),(55378.0390625+0j),(-245.60166931152344+164.39056396484375j),(2895600.75+0j),(-203.847412109375+0.188177689909935j),(12.743023872375488+0.044362783432006836j),(1.1808210611343384-0.004261897411197424j),(4.275760650634766+0.009914491325616837j),(-1.564314842224121-0.15438802540302277j),(-4.8887939453125-0.34163910150527954j),(-1.272628664970398-0.42176562547683716j),(-5.986810207366943-0.01280924491584301j),(6.570602893829346+0.3094639480113983j),(8.36397933959961+1.100437879562378j),(3.2712979316711426+0.46828582882881165j),(-4.777622699737549-0.10050054639577866j),(-7.269641399383545-0.018382083624601364j),(3.1883751281519546e-13-8.266725516033527e-16j),(7.269641399383545+0.018382083624601364j),(4.777622699737549+0.10050054639577866j),(778.31591796875+0j),(944.8877563476562+0j),(1026.7864990234375+0j),(1174.842529296875+0j),(1442.8367919921875+0j),(1602.0718994140625+0j),(1490.9735107421875+0j),(1909.037109375+0j),(2556.20263671875+0j),(2846.815185546875+0j),(3182.301025390625+0j),(3246.9599609375+0j),(3065.26708984375+0j),(8.102190060810796e-27+0j),(3065.26708984375+0j),(3246.9599609375+0j),0
(0.27296024560928345+0j),(0.06737588346004486+0j),(0.09298984706401825+0j),(0.007605608552694321+0j),(3.244929313659668+0j),(1.131117582321167+0j),(146.87692260742188+0j),(3720.907958984375+0j),(7.046426773071289+4.227581024169922j),(28802.92578125+0j),(-25.855329513549805-2.4384589195251465j),(18659.794921875+0j),(50.415279388427734+2.352440357208252j),(7903.02734375+0j),(-23.50654411315918+25.863292694091797j),(239369.578125+0j),(-215.65516662597656+0.4161531627178192j),(19.146635055541992+0.19257298111915588j),(5.58765983581543+0.03961282595992088j),(6.090174198150635-0.142840176820755j),(5.4616618156433105-0.04410184919834137j),(8.142478942871094-0.08484956622123718j),(2.7418484687805176-0.029462018981575966j),(4.85150671005249-0.18801534175872803j),(4.689223289489746-0.02308494783937931j),(-1.8293918371200562-0.06009403243660927j),(-0.008191244676709175+0.38490986824035645j),(1.8617165088653564-0.29715314507484436j),(-4.418878078460693+0.3392782509326935j),(3.486637519499458e-13+1.6515992359535163e-16j),(4.418878078460693-0.3392782509326935j),(-1.8617165088653564+0.29715314507484436j),(622.4381713867188+0j),(717.4279174804688+0j),(1020.0004272460938+0j),(814.324951171875+0j),(1196.5509033203125+0j),(1069.3922119140625+0j),(1894.6943359375+0j),(2116.631103515625+0j),(1985.2701416015625+0j),(2451.879150390625+0j),(2308.09716796875+0j),(2329.79638671875+0j),(2769.212646484375+0j),(6.638100428203553e-27+0j),(2769.212646484375+0j),(2329.79638671875+0j),0
(0.478432297706604+0j),(0.008967965841293335+0j),(0.163076713681221+0j),(0.000920852820854634+0j),(3.1532397270202637+0j),(0.17163486778736115+0j),(134.22308349609375+0j),(1660.6348876953125+0j),(-7.2599873542785645-10.00251293182373j),(31536.306640625+0j),(18.316381454467773-9.864967346191406j),(25640.529296875+0j),(99.34725952148438-8.685712814331055j),(17460.39453125+0j),(-74.28321838378906+21.335786819458008j),(246988.71875+0j),(-201.4850311279297+0.036299724131822586j),(10.610379219055176-0.18947158753871918j),(-0.5971193909645081+0.18639855086803436j),(0.6340385675430298-0.1503290832042694j),(-1.2831599712371826+0.10023420304059982j),(-3.9191362857818604-0.09107547253370285j),(-3.155844211578369+0.059613604098558426j),(8.000004768371582+0.09840910136699677j),(-2.3690881729125977-0.3725142180919647j),(1.726926326751709+0.1289517879486084j),(10.688311576843262-0.449929416179657j),(0.936276376247406+0.6984589099884033j),(8.968315124511719-0.35761722922325134j),(3.3029354533538335e-13-1.0076565461959622e-15j),(-8.968315124511719+0.35761722922325134j),(-0.936276376247406-0.6984589099884033j),(1149.86572265625+0j),(833.0023193359375+0j),(900.9853515625+0j),(1232.558837890625+0j),(1374.876708984375+0j),(1519.7440185546875+0j),(2156.091796875+0j),(2380.776611328125+0j),(2081.8896484375+0j),(2878.98291015625+0j),(2519.52734375+0j),(3017.547607421875+0j),(3427.707763671875+0j),(8.49339573632242e-27+0j),(3427.707763671875+0j),(3017.547607421875+0j),0
(0.48424166440963745+0j),(0.007261645048856735+0j),(0.1628844439983368+0j),(0.0006222922820597887+0j),(3.1052443981170654+0j),(0.11362294852733612+0j),(133.7846221923828+0j),(1218.6920166015625+0j),(-3.509760618209839-3.254652738571167j),(9446.828125+0j),(73.43762969970703+7.012208938598633j),(98780.625+0j),(127.30303192138672-5.68678092956543j),(22218.533203125+0j),(-16.042720794677734-29.950820922851562j),(1127910.125+0j),(-199.06170654296875-0.4739249050617218j),(15.04404354095459+0.04391099512577057j),(1.0013070106506348+0.02437710389494896j),(3.679978847503662+0.36609289050102234j),(-1.6452897787094116-0.023110918700695038j),(-1.0529155731201172+0.3089302182197571j),(-1.9368504285812378+0.2930338382720947j),(0.006933337077498436-0.15186597406864166j),(-4.985132217407227+0.2816121280193329j),(-2.824213743209839-0.09862691164016724j),(3.575730800628662+0.14911045134067535j),(5.8303303718566895+0.06210208684206009j),(1.7086982727050781-0.5766018033027649j),(3.2064143549483115e-13+2.58510167397717e-16j),(-1.7086982727050781+0.5766018033027649j),(-5.8303303718566895-0.06210208684206009j),(866.13916015625+0j),(997.3040161132812+0j),(1050.723876953125+0j),(1125.3399658203125+0j),(1124.8372802734375+0j),(2162.19580078125+0j),(2307.16552734375+0j),(1683.2568359375+0j),(2558.011474609375+0j),(2790.39306640625+0j),(3098.80615234375+0j),(3247.29931640625+0j),(2957.860107421875+0j),(8.12776255861237e-27+0j),(2957.860107421875+0j),(3247.29931640625+0j),0
(0.4488048851490021+0j),(0.010201030410826206+0j),(0.15261542797088623+0j),(0.0008351209689863026+0j),(3.1680421829223633+0j),(0.12675175070762634+0j),(145.7153778076172+0j),(1444.6036376953125+0j),(8.585583686828613-0.19886386394500732j),(3267.457763671875+0j),(42.960296630859375-4.685943126678467j),(58699.90625+0j),(118.89447784423828-1.6155915260314941j),(27840.171875+0j),(-40.94359588623047+47.67884826660156j),(505024.6875+0j),(-199.69903564453125-0.037772685289382935j),(12.866972923278809+0.3043401837348938j),(-3.8141379356384277+0.1442776471376419j),(0.40674087405204773-0.3293755054473877j),(-1.125199794769287-0.18913805484771729j),(0.3438572287559509+0.15114901959896088j),(-5.264316558837891-0.11699293553829193j),(-1.0441749095916748+0.040360044687986374j),(0.12870073318481445+0.0903722420334816j),(4.955574035644531-0.49141591787338257j),(3.9356555938720703-0.34104257822036743j),(3.2146034240722656-0.18042168021202087j),(-2.11883282661438+0.7059816122055054j),(3.1114675180972384e-13+1.4800415269237651e-15j),(2.11883282661438-0.7059816122055054j),(-3.2146034240722656+0.18042168021202087j),(868.6353759765625+0j),(969.3585205078125+0j),(1208.72998046875+0j),(1209.344482421875+0j),(1334.327392578125+0j),(1517.530517578125+0j),(1544.103515625+0j),(1790.1060791015625+0j),(2478.48193359375+0j),(2459.560791015625+0j),(3193.12060546875+0j),(3622.892333984375+0j),(3892.554931640625+0j),(8.86274518845316e-27+0j),(3892.554931640625+0j),(3622.892333984375+0j),0
(0.2600384056568146+0j),(0.02114252559840679+0j),(0.08400028198957443+0j),(0.002405355218797922+0j),(3.4351441860198975+0j),(0.5743599534034729+0j),(292.1000061035156+0j),(28241.05859375+0j),(-16.574106216430664+28.555635452270508j),(64176.7109375+0j),(248.59146118164062+9.203248023986816j),(145437.96875+0j),(215.03591918945312+15.505590438842773j),(46104.4765625+0j),(35.89372253417969+62.129642486572266j),(640243.9375+0j),(-209.3706817626953-0.14751768112182617j),(8.517536163330078-0.16385716199874878j),(3.901959180831909+0.1001235619187355j),(-1.9969505071640015+0.29414376616477966j),(2.0387330055236816-0.27400898933410645j),(-1.7462514638900757+0.0022479495964944363j),(1.6670122146606445+0.3237920105457306j),(-3.113524913787842-0.3567897081375122j),(-7.598701000213623+0.1002357006072998j),(2.7710652351379395+0.07464665174484253j),(7.812157154083252-0.2999165952205658j),(-0.38345688581466675-0.1557690054178238j),(1.488717794418335+0.015533261001110077j),(3.3612452014428196e-13+2.4552642286572945e-16j),(-1.488717794418335-0.015533261001110077j),(0.38345688581466675+0.1557690054178238j),(926.2506103515625+0j),(862.8244018554688+0j),(727.7222290039062+0j),(1446.9627685546875+0j),(1221.1304931640625+0j),(1833.1710205078125+0j),(1504.4873046875+0j),(2021.6673583984375+0j),(2307.359130859375+0j),(2718.779296875+0j),(2258.6025390625+0j),(2859.586181640625+0j),(3215.64453125+0j),(7.661602771153106e-27+0j),(3215.64453125+0j),(2859.586181640625+0j),0
